title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
The Godfather,1972,1970,96.4,1,100,1,92,1,R,175,Crime,Drama,,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,134966411,17,983834101,5,1999274,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Casablanca,1942,1940,93.25,2,100,1,85,6,PG,102,Drama,Romance,War,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,1024560,82,19152357,83,603299,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Schindler's List,1993,1990,92.75,3,95,6,90,2,R,195,Biography,Drama,History,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,96898818,29,204325742,42,1441782,"In German-occupied Poland during World War II, industrialist <a href=""/name/nm0771861"">Oskar Schindler</a> gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Lawrence of Arabia,1962,1960,92.35,4,100,1,83,8,Approved,218,Adventure,Biography,Drama,David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,44824144,51,452248896,16,312526,"The story of <a href=""/name/nm0493042"">T.E. Lawrence</a>, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
The Lord of the Rings: The Return of the King,2003,2000,92.2,5,94,7,90,2,PG-13,201,Action,Adventure,Drama,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,377845905,2,625704604,11,1966577,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Parasite,2019,2010,91.6,6,97,4,85,6,R,132,Drama,Thriller,,Bong Joon Ho,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,53367844,45,63594767,74,945776,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
All About Eve,1950,1950,90.8,7,98,3,82,9,Passed,138,Drama,,,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm,10177,84,128669,85,138229,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Gone with the Wind,1939,1930,90.25,8,97,4,82,9,Passed,238,Drama,Romance,War,Victor Fleming,Clark Gable,Vivien Leigh,Thomas Mitchell,Barbara O'Neil,198676459,5,4355159500,1,332693,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
The Godfather Part II,1974,1970,90,9,90,11,90,2,R,202,Crime,Drama,,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,57300000,41,354144219,25,1356336,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
12 Years a Slave,2013,2010,89.25,10,96,5,81,10,R,134,Biography,Drama,History,Steve McQueen,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Brad Pitt,56671993,42,74111400,73,738416,"In the antebellum United States, <a href=""/name/nm1185849"">Solomon Northup</a>, a free Black man from upstate New York, is abducted and sold into slavery."
