title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
30 Rock,0,0,0.0,1,0,1,83,11,TV-14,22,Comedy,,,N/A,Tina Fey,Alec Baldwin,Tracy Morgan,Jack McBrayer,0,1,0,1,131482,"Liz Lemon, head writer of the sketch-comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star while trying to run a successful television show without losing her mind."
Arrested Development,0,0,0.0,1,0,1,87,7,TV-14,22,Comedy,,,N/A,Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,0,1,0,1,322830,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Atlanta,0,0,0.0,1,0,1,86,8,TV-MA,30,Comedy,Drama,Music,N/A,Donald Glover,Brian Tyree Henry,LaKeith Stanfield,Zazie Beetz,0,1,0,1,87103,"Earn and his cousin, Alfred, try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status and parenthood."
Barry,0,0,0.0,1,0,1,84,10,TV-MA,30,Action,Comedy,Crime,N/A,Bill Hader,Stephen Root,Sarah Goldberg,Anthony Carrigan,0,1,0,1,121069,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
Baskets,0,0,0.0,1,0,1,76,17,TV-MA,30,Comedy,Drama,,N/A,Zach Galifianakis,Martha Kelly,Louie Anderson,Alex Morris,0,1,0,1,12801,"After failing at a prestigious French clowning college, Chip Baskets looks to keep his dream of becoming a professional clown alive."
Battlestar Galactica,0,0,0.0,1,0,1,87,7,TV-14,44,Action,Adventure,Drama,N/A,Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,0,1,0,1,174814,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
Better Call Saul,0,0,0.0,1,0,1,90,4,TV-MA,3,Crime,Drama,,N/A,Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,0,1,0,1,639170,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Black Mirror,0,0,0.0,1,0,1,87,7,TV-MA,60,Drama,Mystery,Sci-Fi,N/A,Wunmi Mosaku,Monica Dolan,Daniel Lapaine,Hannah John-Kamen,0,1,0,1,634764,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world."
Breaking Bad,0,0,0.0,1,0,1,95,1,TV-MA,45,Crime,Drama,Thriller,N/A,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,0,1,0,1,2115196,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
Broad City,0,0,0.0,1,0,1,84,10,TV-14,22,Comedy,,,N/A,Ilana Glazer,Abbi Jacobson,Hannibal Buress,Arturo Castro,0,1,0,1,35499,"Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time."
